School,TeamName,KenpomRank,SOS,Win %,Confrence,Avg.Exp,Scoring Margin,NET,KenPomO,PPG,OpposingKenPomD,FT%,FTA,FG%,FGA,FGM,3pt%,3ptm,3pta,2pt%,2ptm,2pta,Assists,Turnovers,Efg%,Adj.Tempo,Offensive Rebounds,PPGA,KenPomD,OpposingKenPomO,Rebounds,Forced Turnovers,Blocks,Opp fg%,Opp fgm,Opp fga,Opp 3pt%,Opp 3ptm,Opp 3pta,Opp 2pt%,Opp 2ptm,Opp 2pta,OPP Efg%,Opponent rebounds,OpponentOffensiveRebounds,OFTA,Assists/TO Ratio
Gonzaga,Bulldogs,27.29,40,0.76,WCC,3.40,17.00,8,123.80,86.60,103.90,0.80,19.64,0.50,63.64,31.80,0.34,7.30,21.30,0.59,24.45,41.42,19.70,9.40,0.56,70.40,9.30,69.60,96.40,111.10,38.60,13.00,3.00,0.41,24.90,60.09,0.30,7.40,24.39,0.49,17.52,35.70,0.48,32.90,7.70,17.18,2.10
McNeese State,Cowboys,13.69,157,0.82,Southland,3.40,13.50,58,114.50,77.20,107.30,0.71,20.27,0.48,57.61,27.60,0.36,7.60,21.27,0.55,19.97,36.33,14.10,10.80,0.53,65.60,10.50,64.00,100.80,107.30,36.20,14.50,3.40,0.40,22.10,54.85,0.32,8.10,25.15,0.47,14.00,29.61,0.48,32.50,9.30,16.61,1.31
American,Eagles,-5.98,285,0.65,Patriot,3.36,1.40,226,102.30,68.60,110.50,0.76,16.41,0.44,54.00,23.90,0.35,8.40,24.24,0.52,15.50,29.76,12.50,11.10,0.52,63.70,6.50,67.30,108.30,103.50,30.30,11.90,1.90,0.45,24.20,53.26,0.33,6.10,18.53,0.52,18.09,34.74,0.52,32.30,7.50,18.41,1.13
Montana,Grizzlies,0.38,186,0.74,Big Sky,3.33,3.90,143,111.00,76.90,108.80,0.74,19.47,0.50,55.03,27.60,0.36,7.30,20.35,0.58,20.29,34.71,13.60,10.90,0.56,67.20,5.40,72.90,110.60,106.70,31.70,10.90,3.30,0.46,26.60,58.56,0.33,6.60,20.29,0.52,19.97,38.26,0.52,32.50,8.00,17.71,1.25
Bryant,Bulldogs,1.18,228,0.68,America East,4.00,8.50,141,106.70,82.40,110.00,0.72,19.62,0.46,65.71,30.20,0.34,7.80,23.24,0.53,22.41,42.47,15.00,12.00,0.51,72.50,11.80,73.90,105.50,103.00,41.50,12.10,6.00,0.42,26.60,64.06,0.32,7.30,22.53,0.47,19.32,41.53,0.48,36.10,8.50,18.56,1.25
Norfolk State,Spartans,-1.53,329,0.71,MEAC,3.45,8.30,183,107.20,77.30,110.30,0.76,21.94,0.49,56.53,27.60,0.33,5.40,16.26,0.54,22.26,40.85,13.90,12.40,0.52,66.40,8.20,69.00,108.70,106.60,34.70,13.20,3.00,0.41,23.60,57.03,0.34,8.00,23.85,0.47,15.56,33.18,0.50,32.30,10.50,19.68,1.12
Colorado State,Rams,17.29,72,0.74,MWC,3.40,8.10,47,116.30,75.20,103.60,0.78,17.53,0.48,55.21,26.50,0.37,8.60,23.65,0.52,17.82,34.50,16.60,11.60,0.56,66.00,6.90,67.10,99.00,109.40,34.80,11.20,2.80,0.42,23.60,56.00,0.33,7.00,21.24,0.48,16.59,34.76,0.49,31.70,7.70,18.82,1.43
Houston,Cougars,35.44,19,0.88,Big 12,3.33,15.70,3,123.30,74.20,99.90,0.74,16.56,0.46,58.79,26.90,0.40,8.10,20.26,0.49,18.88,38.53,12.00,9.30,0.53,61.50,10.70,58.50,87.80,113.60,31.60,13.80,4.70,0.38,19.60,51.26,0.31,6.80,22.09,0.44,12.79,29.18,0.45,31.60,7.40,17.50,1.29
St.Johns,Red Storm,26.38,48,0.88,Big East,3.33,12.80,13,113.90,78.70,102.70,0.69,19.76,0.45,65.50,29.50,0.30,6.00,19.85,0.51,23.50,45.65,15.90,11.10,0.50,70.20,12.10,65.90,87.60,111.80,40.90,15.60,5.20,0.40,23.30,58.06,0.32,7.50,23.68,0.46,15.74,34.38,0.47,34.00,8.60,17.65,1.43
Mount Saint Mary's,Mountaineers,-6.67,225,0.65,MAAC,3.00,0.60,236,100.20,70.40,109.20,0.73,17.68,0.44,55.85,24.70,0.35,8.00,22.88,0.51,16.74,32.97,15.00,15.10,0.51,67.40,8.70,69.80,106.90,101.90,37.60,11.20,2.80,0.41,24.70,60.85,0.31,8.40,26.97,0.48,16.32,33.88,0.48,33.30,9.30,16.15,0.99
