player_name,total_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,gir,prox_fw,accuracy,distance
"Willett, Danny",5.0,2.177,-1.5574999999999999,-0.622,-0.75,-2.9295,0.5833349999999999,44.9576,0.607145,288.35
"Spaun, J.J.",5.0,-1.0135,-0.02100000000000002,0.44450000000000006,-0.1625,0.261,0.63889,31.09515,0.78571,296.45
"Hall, Harry",5.0,0.14500000000000002,-0.7909999999999999,0.5995,-0.706,-0.8975,0.583335,49.48915,0.64286,291.4
"Fox, Ryan",5.0,-0.8795,0.25049999999999994,-0.14800000000000002,0.024499999999999966,0.12649999999999995,0.694445,40.77335,0.6785749999999999,312.4
"Bhatia, Akshay",6.0,1.2719999999999998,-1.558,0.48250000000000004,-1.4489999999999998,-2.5244999999999997,0.55556,37.45955,0.57143,297.05
"DeChambeau, Bryson",6.0,0.5325,-1.914,-0.636,0.765,-1.7845,0.61111,36.0305,0.64286,314.0
"Hojgaard, Nicolai",6.0,-1.393,-0.702,0.11150000000000004,0.7315,0.14100000000000001,0.63889,38.9869,0.6785749999999999,316.35
"Johnson, Zach",6.0,-0.817,0.14700000000000002,-0.8374999999999999,0.2545,-0.43600000000000005,0.63889,43.7616,0.85714,288.0
"Smith, Cameron",7.0,-0.019500000000000073,1.4645000000000001,-1.5534999999999999,-1.645,-1.7335,0.416665,42.089650000000006,0.5,295.2
"Novak, Andrew",7.0,-0.6385000000000001,-0.994,-0.3025,0.1825,-1.1139999999999999,0.583335,51.96695,0.7857149999999999,301.0
"MacIntyre, Robert",7.0,0.5665,-0.458,-3.6899999999999995,1.829,-2.319,0.555555,43.373400000000004,0.892855,308.4
"Neergaard-Petersen, Rasmus",7.0,-2.946,0.02150000000000002,0.22549999999999998,0.946,1.1935,0.555555,32.5332,0.67857,306.6
"McKibbin, Tom",7.0,-2.023,-0.00599999999999995,-0.9405,1.2165,0.27,0.694445,39.08725,0.892855,305.8
"Kim, Michael",8.0,-0.12750000000000017,-1.368,0.48249999999999993,-1.2395,-2.125,0.5833349999999999,36.027950000000004,0.607145,287.3
"Berger, Daniel",8.0,-1.862,0.1515,-0.6625,0.12050000000000002,-0.391,0.555555,44.1604,0.7142850000000001,303.1
"Fang, Ethan",8.0,-2.834,1.2745000000000002,-0.0014999999999999458,-0.691,0.5815000000000001,0.52778,36.2799,0.71429,294.9
"Herrington, Jackson",8.0,-0.3445,-1.918,0.8059999999999999,-0.7965,-1.9085,0.6111150000000001,43.0173,0.5357149999999999,317.5
"Jarvis, Casey",8.0,-1.1785,-1.284,-0.39749999999999996,0.608,-1.0739999999999998,0.583335,42.3811,0.85714,301.9
"Howell, Mason",9.0,-2.2165,-1.9244999999999999,0.471,0.9175000000000001,-0.5365,0.583335,34.93375,0.78571,312.65
"Couples, Fred",9.0,2.8819999999999997,0.4355,-4.311,-1.7585,-5.635,0.44444500000000003,39.437799999999996,0.67857,273.2
"Olazabal, Jose Maria",9.0,0.593,2.766,-3.3205,-2.791,-3.3455000000000004,0.36111000000000004,46.23395,0.78571,261.8
"Singh, Vijay",10.0,-2.181,0.453,-0.5575,-0.9670000000000001,-1.0715,0.55556,38.70615,0.8214250000000001,275.9
"Weir, Mike",10.0,-1.3695000000000002,0.011499999999999955,-0.389,-1.5065,-1.8835000000000002,0.47222,39.622,0.75,278.3
"Lee, Min Woo",11.0,-0.846,-0.40599999999999997,-2.3215,-0.18000000000000002,-2.907,0.416665,39.7775,0.64286,310.04999999999995
"Ortiz, Carlos",11.0,-0.964,-0.9855,-0.659,-1.1440000000000001,-2.7885,0.472225,39.66975,0.67857,300.0
"Valimaki, Sami",11.0,-1.9375,-0.5674999999999999,-1.3575,0.11000000000000004,-1.815,0.527775,43.8316,0.7142850000000001,298.45000000000005
"Keefer, Johnny",11.0,-1.334,-0.6505,-1.439,-0.3285,-2.4185,0.555555,45.63635,0.607145,302.0
"Laopakdee, Fifa",11.0,0.17950000000000002,-0.59,-1.3035,-2.0389999999999997,-3.9325,0.472225,46.9176,0.5714250000000001,303.0
"Greyserman, Max",12.0,-1.79,-1.2375,-0.9955,-0.22950000000000004,-2.4625,0.52778,38.36615,0.7142850000000001,300.65
"Echavarria, Nico",13.0,-0.35850000000000004,-0.237,-3.4705000000000004,-0.6859999999999999,-4.394,0.444445,46.0261,0.7142850000000001,291.3
"Potgieter, Aldrich",15.0,-1.747,-0.649,-0.793,-2.5635000000000003,-4.0055,0.555555,37.2538,0.5357149999999999,308.79999999999995
"Pulcini, Mateo",15.0,-2.258,-1.637,-0.7144999999999999,-1.143,-3.4945000000000004,0.444445,42.06285,0.5,300.0
"Kataoka, Naoyuki",15.0,0.13149999999999995,-1.782,-3.011,-1.0905,-5.884,0.38889,43.8238,0.60714,292.7
"Holtz, Brandon",15.0,-1.754,-1.9849999999999999,-1.27,-0.7435,-3.9985,0.444445,46.13505,0.7142850000000001,291.65
"Cabrera, Angel",16.0,-1.3815,-0.01100000000000001,-2.0105,-2.8489999999999998,-4.8715,0.47222,57.2051,0.57143,283.85
"Riley, Davis",18.0,-1.407,0.5885,-2.1925,-4.2425,-5.846,0.44444,46.40345000000001,0.321425,288.20000000000005
